set_id,set_name,set_series,set_printed_total,set_total,set_ptcgo_code,set_release_date,set_updated_at,id,name,supertype,subtypes,types,rarity,number,hp,artist,flavor_text,regulation_mark,evolves_from,evolves_to,national_pokedex_numbers,abilities,attacks,rules,weaknesses,resistances,retreat_cost,converted_retreat_cost,legal_unlimited,legal_expanded,legal_standard,tcgplayer_url,cardmarket_url,image_large,payload_json
xy5,Primal Clash,XY,160,164,PRC,2015/02/04,2020/05/01 16:06:00,xy5-64,Eelektrik,Pokémon,"[""Stage 1""]","[""Lightning""]",Rare,64,90,Naoki Saito,"These Pokémon have a big appetite. When they spot their prey, they attack it and paralyze it with electricity.",,Tynamo,"[""Eelektross""]",[603],[],"[{""name"":""Thrash"",""cost"":[""Lightning"",""Colorless"",""Colorless""],""convertedEnergyCost"":3,""damage"":""50+"",""text"":""Flip a coin. If heads, this attack does 20 more damage. If tails, this Pokémon does 20 damage to itself.""}]",[],"[{""type"":""Fighting"",""value"":""×2""}]","[{""type"":""Metal"",""value"":""-20""}]","[""Colorless"",""Colorless""]",2,Legal,Legal,,,,https://images.pokemontcg.io/xy5/64_hires.png,"{""id"":""xy5-64"",""name"":""Eelektrik"",""supertype"":""Pokémon"",""subtypes"":[""Stage 1""],""hp"":""90"",""types"":[""Lightning""],""evolvesFrom"":""Tynamo"",""evolvesTo"":[""Eelektross""],""ancientTrait"":{""name"":""α Recovery"",""text"":""When this Pokémon is healed, double the amount healed.""},""attacks"":[{""name"":""Thrash"",""cost"":[""Lightning"",""Colorless"",""Colorless""],""convertedEnergyCost"":3,""damage"":""50+"",""text"":""Flip a coin. If heads, this attack does 20 more damage. If tails, this Pokémon does 20 damage to itself.""}],""weaknesses"":[{""type"":""Fighting"",""value"":""×2""}],""resistances"":[{""type"":""Metal"",""value"":""-20""}],""retreatCost"":[""Colorless"",""Colorless""],""convertedRetreatCost"":2,""number"":""64"",""artist"":""Naoki Saito"",""rarity"":""Rare"",""flavorText"":""These Pokémon have a big appetite. When they spot their prey, they attack it and paralyze it with electricity."",""nationalPokedexNumbers"":[603],""legalities"":{""unlimited"":""Legal"",""expanded"":""Legal""},""images"":{""small"":""https://images.pokemontcg.io/xy5/64.png"",""large"":""https://images.pokemontcg.io/xy5/64_hires.png""}}"
xy5,Primal Clash,XY,160,164,PRC,2015/02/04,2020/05/01 16:06:00,xy5-65,Eelektross,Pokémon,"[""Stage 2""]","[""Lightning""]",Rare Holo,65,140,Mitsuhiro Arita,They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.,,Eelektrik,[],[604],"[{""name"":""Energy Connect"",""text"":""As often as you like during your turn (before your attack), you may move a basic Energy attached to 1 of your Benched Pokémon to your Active Pokémon."",""type"":""Ability""}]","[{""name"":""Electricannon"",""cost"":[""Lightning"",""Lightning"",""Colorless"",""Colorless""],""convertedEnergyCost"":4,""damage"":""80+"",""text"":""You may discard all Lightning Energy attached to this Pokémon. If you do, this attack does 50 more damage.""}]",[],"[{""type"":""Fighting"",""value"":""×2""}]","[{""type"":""Metal"",""value"":""-20""}]","[""Colorless"",""Colorless"",""Colorless""]",3,Legal,Legal,,,,https://images.pokemontcg.io/xy5/65_hires.png,"{""id"":""xy5-65"",""name"":""Eelektross"",""supertype"":""Pokémon"",""subtypes"":[""Stage 2""],""hp"":""140"",""types"":[""Lightning""],""evolvesFrom"":""Eelektrik"",""abilities"":[{""name"":""Energy Connect"",""text"":""As often as you like during your turn (before your attack), you may move a basic Energy attached to 1 of your Benched Pokémon to your Active Pokémon."",""type"":""Ability""}],""attacks"":[{""name"":""Electricannon"",""cost"":[""Lightning"",""Lightning"",""Colorless"",""Colorless""],""convertedEnergyCost"":4,""damage"":""80+"",""text"":""You may discard all Lightning Energy attached to this Pokémon. If you do, this attack does 50 more damage.""}],""weaknesses"":[{""type"":""Fighting"",""value"":""×2""}],""resistances"":[{""type"":""Metal"",""value"":""-20""}],""retreatCost"":[""Colorless"",""Colorless"",""Colorless""],""convertedRetreatCost"":3,""number"":""65"",""artist"":""Mitsuhiro Arita"",""rarity"":""Rare Holo"",""flavorText"":""They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean."",""nationalPokedexNumbers"":[604],""legalities"":{""unlimited"":""Legal"",""expanded"":""Legal""},""images"":{""small"":""https://images.pokemontcg.io/xy5/65.png"",""large"":""https://images.pokemontcg.io/xy5/65_hires.png""}}"
xy5,Primal Clash,XY,160,164,PRC,2015/02/04,2020/05/01 16:06:00,xy5-66,Nidoran ♀,Pokémon,"[""Basic""]","[""Psychic""]",Common,66,60,Mizue,"Small and very docile, it protects itself with its small, poisonous horn when attacked.",,,"[""Nidorina""]",[29],[],"[{""name"":""Scratch"",""cost"":[""Colorless""],""convertedEnergyCost"":1,""damage"":""10"",""text"":""""},{""name"":""Bite"",""cost"":[""Psychic"",""Colorless""],""convertedEnergyCost"":2,""damage"":""20"",""text"":""""}]",[],"[{""type"":""Psychic"",""value"":""×2""}]",[],"[""Colorless""]",1,Legal,Legal,,,,https://images.pokemontcg.io/xy5/66_hires.png,"{""id"":""xy5-66"",""name"":""Nidoran ♀"",""supertype"":""Pokémon"",""subtypes"":[""Basic""],""hp"":""60"",""types"":[""Psychic""],""evolvesTo"":[""Nidorina""],""attacks"":[{""name"":""Scratch"",""cost"":[""Colorless""],""convertedEnergyCost"":1,""damage"":""10"",""text"":""""},{""name"":""Bite"",""cost"":[""Psychic"",""Colorless""],""convertedEnergyCost"":2,""damage"":""20"",""text"":""""}],""weaknesses"":[{""type"":""Psychic"",""value"":""×2""}],""retreatCost"":[""Colorless""],""convertedRetreatCost"":1,""number"":""66"",""artist"":""Mizue"",""rarity"":""Common"",""flavorText"":""Small and very docile, it protects itself with its small, poisonous horn when attacked."",""nationalPokedexNumbers"":[29],""legalities"":{""unlimited"":""Legal"",""expanded"":""Legal""},""images"":{""small"":""https://images.pokemontcg.io/xy5/66.png"",""large"":""https://images.pokemontcg.io/xy5/66_hires.png""}}"
xy5,Primal Clash,XY,160,164,PRC,2015/02/04,2020/05/01 16:06:00,xy5-67,Nidorina,Pokémon,"[""Stage 1""]","[""Psychic""]",Uncommon,67,90,Aya Kusube,"When feeding its young, it first chews the food into a paste, then spits it out for the offspring.",,Nidoran ♀,"[""Nidoqueen""]",[30],[],"[{""name"":""Scratch"",""cost"":[""Colorless""],""convertedEnergyCost"":1,""damage"":""20"",""text"":""""},{""name"":""Strength"",""cost"":[""Psychic"",""Psychic"",""Colorless""],""convertedEnergyCost"":3,""damage"":""60"",""text"":""""}]",[],"[{""type"":""Psychic"",""value"":""×2""}]",[],"[""Colorless"",""Colorless""]",2,Legal,Legal,,,,https://images.pokemontcg.io/xy5/67_hires.png,"{""id"":""xy5-67"",""name"":""Nidorina"",""supertype"":""Pokémon"",""subtypes"":[""Stage 1""],""hp"":""90"",""types"":[""Psychic""],""evolvesFrom"":""Nidoran ♀"",""evolvesTo"":[""Nidoqueen""],""attacks"":[{""name"":""Scratch"",""cost"":[""Colorless""],""convertedEnergyCost"":1,""damage"":""20"",""text"":""""},{""name"":""Strength"",""cost"":[""Psychic"",""Psychic"",""Colorless""],""convertedEnergyCost"":3,""damage"":""60"",""text"":""""}],""weaknesses"":[{""type"":""Psychic"",""value"":""×2""}],""retreatCost"":[""Colorless"",""Colorless""],""convertedRetreatCost"":2,""number"":""67"",""artist"":""Aya Kusube"",""rarity"":""Uncommon"",""flavorText"":""When feeding its young, it first chews the food into a paste, then spits it out for the offspring."",""nationalPokedexNumbers"":[30],""legalities"":{""unlimited"":""Legal"",""expanded"":""Legal""},""images"":{""small"":""https://images.pokemontcg.io/xy5/67.png"",""large"":""https://images.pokemontcg.io/xy5/67_hires.png""}}"
xy5,Primal Clash,XY,160,164,PRC,2015/02/04,2020/05/01 16:06:00,xy5-68,Nidoqueen,Pokémon,"[""Stage 2""]","[""Psychic""]",Uncommon,68,140,Masakazu Fukuda,"The body is covered by stiff, needle-like scales. If it becomes excited, the needles bristle outwards.",,Nidorina,[],[31],[],"[{""name"":""Double Kick"",""cost"":[""Psychic"",""Colorless""],""convertedEnergyCost"":2,""damage"":""40×"",""text"":""Flip 2 coins. This attack does 40 damage times the number of heads.""},{""name"":""Poison Fang"",""cost"":[""Psychic"",""Colorless"",""Colorless""],""convertedEnergyCost"":3,""damage"":""60"",""text"":""Your opponent's Active Pokémon is now Poisoned. Put 2 damage counters instead of 1 on that Pokémon between turns.""}]",[],"[{""type"":""Psychic"",""value"":""×2""}]",[],"[""Colorless"",""Colorless"",""Colorless""]",3,Legal,Legal,,,,https://images.pokemontcg.io/xy5/68_hires.png,"{""id"":""xy5-68"",""name"":""Nidoqueen"",""supertype"":""Pokémon"",""subtypes"":[""Stage 2""],""hp"":""140"",""types"":[""Psychic""],""evolvesFrom"":""Nidorina"",""attacks"":[{""name"":""Double Kick"",""cost"":[""Psychic"",""Colorless""],""convertedEnergyCost"":2,""damage"":""40×"",""text"":""Flip 2 coins. This attack does 40 damage times the number of heads.""},{""name"":""Poison Fang"",""cost"":[""Psychic"",""Colorless"",""Colorless""],""convertedEnergyCost"":3,""damage"":""60"",""text"":""Your opponent's Active Pokémon is now Poisoned. Put 2 damage counters instead of 1 on that Pokémon between turns.""}],""weaknesses"":[{""type"":""Psychic"",""value"":""×2""}],""retreatCost"":[""Colorless"",""Colorless"",""Colorless""],""convertedRetreatCost"":3,""number"":""68"",""artist"":""Masakazu Fukuda"",""rarity"":""Uncommon"",""flavorText"":""The body is covered by stiff, needle-like scales. If it becomes excited, the needles bristle outwards."",""nationalPokedexNumbers"":[31],""legalities"":{""unlimited"":""Legal"",""expanded"":""Legal""},""images"":{""small"":""https://images.pokemontcg.io/xy5/68.png"",""large"":""https://images.pokemontcg.io/xy5/68_hires.png""}}"
xy5,Primal Clash,XY,160,164,PRC,2015/02/04,2020/05/01 16:06:00,xy5-69,Nidoqueen,Pokémon,"[""Stage 2""]","[""Psychic""]",Rare,69,140,PLANETA,"The body is covered by stiff, needle-like scales. If it becomes excited, the needles bristle outwards.",,Nidorina,[],[31],[],"[{""name"":""Poison Jab"",""cost"":[""Psychic""],""convertedEnergyCost"":1,""damage"":""30"",""text"":""Your opponent's Active Pokémon is now Poisoned.""},{""name"":""Dynamite Punch"",""cost"":[""Psychic"",""Psychic"",""Colorless""],""convertedEnergyCost"":3,""damage"":""70"",""text"":""This Pokémon does 20 damage to itself. Don't apply Weakness to this damage.""}]",[],"[{""type"":""Psychic"",""value"":""×2""}]",[],"[""Colorless"",""Colorless""]",2,Legal,Legal,,,,https://images.pokemontcg.io/xy5/69_hires.png,"{""id"":""xy5-69"",""name"":""Nidoqueen"",""supertype"":""Pokémon"",""subtypes"":[""Stage 2""],""hp"":""140"",""types"":[""Psychic""],""evolvesFrom"":""Nidorina"",""ancientTrait"":{""name"":""Ω Barrage"",""text"":""This Pokémon may attack twice a turn. (If the first attack Knocks Out your opponent's Active Pokémon, you may attack again after your opponent chooses a new Active Pokémon.)""},""attacks"":[{""name"":""Poison Jab"",""cost"":[""Psychic""],""convertedEnergyCost"":1,""damage"":""30"",""text"":""Your opponent's Active Pokémon is now Poisoned.""},{""name"":""Dynamite Punch"",""cost"":[""Psychic"",""Psychic"",""Colorless""],""convertedEnergyCost"":3,""damage"":""70"",""text"":""This Pokémon does 20 damage to itself. Don't apply Weakness to this damage.""}],""weaknesses"":[{""type"":""Psychic"",""value"":""×2""}],""retreatCost"":[""Colorless"",""Colorless""],""convertedRetreatCost"":2,""number"":""69"",""artist"":""PLANETA"",""rarity"":""Rare"",""flavorText"":""The body is covered by stiff, needle-like scales. If it becomes excited, the needles bristle outwards."",""nationalPokedexNumbers"":[31],""legalities"":{""unlimited"":""Legal"",""expanded"":""Legal""},""images"":{""small"":""https://images.pokemontcg.io/xy5/69.png"",""large"":""https://images.pokemontcg.io/xy5/69_hires.png""}}"
xy5,Primal Clash,XY,160,164,PRC,2015/02/04,2020/05/01 16:06:00,xy5-70,Tentacool,Pokémon,"[""Basic""]","[""Psychic""]",Common,70,50,Yukiko Baba,Drifts in shallow seas. Anglers who hook them by accident are often punished by their stingers.,,,"[""Tentacruel""]",[72],[],"[{""name"":""Lost in the Waves"",""cost"":[""Colorless""],""convertedEnergyCost"":1,""damage"":""10"",""text"":""Return this Pokémon and all cards attached to it to your hand.""}]",[],"[{""type"":""Psychic"",""value"":""×2""}]",[],"[""Colorless""]",1,Legal,Legal,,,,https://images.pokemontcg.io/xy5/70_hires.png,"{""id"":""xy5-70"",""name"":""Tentacool"",""supertype"":""Pokémon"",""subtypes"":[""Basic""],""hp"":""50"",""types"":[""Psychic""],""evolvesTo"":[""Tentacruel""],""attacks"":[{""name"":""Lost in the Waves"",""cost"":[""Colorless""],""convertedEnergyCost"":1,""damage"":""10"",""text"":""Return this Pokémon and all cards attached to it to your hand.""}],""weaknesses"":[{""type"":""Psychic"",""value"":""×2""}],""retreatCost"":[""Colorless""],""convertedRetreatCost"":1,""number"":""70"",""artist"":""Yukiko Baba"",""rarity"":""Common"",""flavorText"":""Drifts in shallow seas. Anglers who hook them by accident are often punished by their stingers."",""nationalPokedexNumbers"":[72],""legalities"":{""unlimited"":""Legal"",""expanded"":""Legal""},""images"":{""small"":""https://images.pokemontcg.io/xy5/70.png"",""large"":""https://images.pokemontcg.io/xy5/70_hires.png""}}"
xy5,Primal Clash,XY,160,164,PRC,2015/02/04,2020/05/01 16:06:00,xy5-71,Tentacool,Pokémon,"[""Basic""]","[""Psychic""]",Uncommon,71,60,Mizue,Drifts in shallow seas. Anglers who hook them by accident are often punished by their stingers.,,,"[""Tentacruel""]",[72],[],"[{""name"":""Psyshot"",""cost"":[""Psychic"",""Colorless""],""convertedEnergyCost"":2,""damage"":""20"",""text"":""""}]",[],"[{""type"":""Psychic"",""value"":""×2""}]",[],"[""Colorless""]",1,Legal,Legal,,,,https://images.pokemontcg.io/xy5/71_hires.png,"{""id"":""xy5-71"",""name"":""Tentacool"",""supertype"":""Pokémon"",""subtypes"":[""Basic""],""hp"":""60"",""types"":[""Psychic""],""evolvesTo"":[""Tentacruel""],""ancientTrait"":{""name"":""α Recovery"",""text"":""When this Pokémon is healed, double the amount healed.""},""attacks"":[{""name"":""Psyshot"",""cost"":[""Psychic"",""Colorless""],""convertedEnergyCost"":2,""damage"":""20"",""text"":""""}],""weaknesses"":[{""type"":""Psychic"",""value"":""×2""}],""retreatCost"":[""Colorless""],""convertedRetreatCost"":1,""number"":""71"",""artist"":""Mizue"",""rarity"":""Uncommon"",""flavorText"":""Drifts in shallow seas. Anglers who hook them by accident are often punished by their stingers."",""nationalPokedexNumbers"":[72],""legalities"":{""unlimited"":""Legal"",""expanded"":""Legal""},""images"":{""small"":""https://images.pokemontcg.io/xy5/71.png"",""large"":""https://images.pokemontcg.io/xy5/71_hires.png""}}"
xy5,Primal Clash,XY,160,164,PRC,2015/02/04,2020/05/01 16:06:00,xy5-72,Tentacruel,Pokémon,"[""Stage 1""]","[""Psychic""]",Rare,72,100,match,"It has 80 tentacles that move about freely. They can sting, causing poisoning and sharp, stabbing pain.",,Tentacool,[],[73],[],"[{""name"":""Dancing Tentacles"",""cost"":[""Colorless""],""convertedEnergyCost"":1,""damage"":"""",""text"":""Your opponent's Active Pokémon is now Confused and Poisoned.""},{""name"":""Stick and Absorb"",""cost"":[""Psychic"",""Colorless""],""convertedEnergyCost"":2,""damage"":""30"",""text"":""Heal 30 damage from this Pokémon. The Defending Pokémon can't retreat during your opponent's next turn.""}]",[],"[{""type"":""Psychic"",""value"":""×2""}]",[],"[""Colorless"",""Colorless"",""Colorless""]",3,Legal,Legal,,,,https://images.pokemontcg.io/xy5/72_hires.png,"{""id"":""xy5-72"",""name"":""Tentacruel"",""supertype"":""Pokémon"",""subtypes"":[""Stage 1""],""hp"":""100"",""types"":[""Psychic""],""evolvesFrom"":""Tentacool"",""attacks"":[{""name"":""Dancing Tentacles"",""cost"":[""Colorless""],""convertedEnergyCost"":1,""damage"":"""",""text"":""Your opponent's Active Pokémon is now Confused and Poisoned.""},{""name"":""Stick and Absorb"",""cost"":[""Psychic"",""Colorless""],""convertedEnergyCost"":2,""damage"":""30"",""text"":""Heal 30 damage from this Pokémon. The Defending Pokémon can't retreat during your opponent's next turn.""}],""weaknesses"":[{""type"":""Psychic"",""value"":""×2""}],""retreatCost"":[""Colorless"",""Colorless"",""Colorless""],""convertedRetreatCost"":3,""number"":""72"",""artist"":""match"",""rarity"":""Rare"",""flavorText"":""It has 80 tentacles that move about freely. They can sting, causing poisoning and sharp, stabbing pain."",""nationalPokedexNumbers"":[73],""legalities"":{""unlimited"":""Legal"",""expanded"":""Legal""},""images"":{""small"":""https://images.pokemontcg.io/xy5/72.png"",""large"":""https://images.pokemontcg.io/xy5/72_hires.png""}}"
xy5,Primal Clash,XY,160,164,PRC,2015/02/04,2020/05/01 16:06:00,xy5-73,Starmie,Pokémon,"[""Stage 1""]","[""Psychic""]",Rare,73,90,HiRON,"At the center of its body is a red core, which sends mysterious radio signals into the night sky.",,Staryu,[],[121],[],"[{""name"":""Synchro Star"",""cost"":[""Colorless""],""convertedEnergyCost"":1,""damage"":""10+"",""text"":""If this Pokémon and your opponent's Active Pokémon have the same amount of Energy attached to them, this attack does 60 more damage.""}]",[],"[{""type"":""Psychic"",""value"":""×2""}]",[],[],,Legal,Legal,,,,https://images.pokemontcg.io/xy5/73_hires.png,"{""id"":""xy5-73"",""name"":""Starmie"",""supertype"":""Pokémon"",""subtypes"":[""Stage 1""],""hp"":""90"",""types"":[""Psychic""],""evolvesFrom"":""Staryu"",""attacks"":[{""name"":""Synchro Star"",""cost"":[""Colorless""],""convertedEnergyCost"":1,""damage"":""10+"",""text"":""If this Pokémon and your opponent's Active Pokémon have the same amount of Energy attached to them, this attack does 60 more damage.""}],""weaknesses"":[{""type"":""Psychic"",""value"":""×2""}],""number"":""73"",""artist"":""HiRON"",""rarity"":""Rare"",""flavorText"":""At the center of its body is a red core, which sends mysterious radio signals into the night sky."",""nationalPokedexNumbers"":[121],""legalities"":{""unlimited"":""Legal"",""expanded"":""Legal""},""images"":{""small"":""https://images.pokemontcg.io/xy5/73.png"",""large"":""https://images.pokemontcg.io/xy5/73_hires.png""}}"
